#Release 14.7 - par P.20131013 (lin)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Jul 29 16:50:32 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Top_map.ncd
#OUTPUT FILE:      Top_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,addr<2>,IOB,IO_L83N_VREF_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P2,addr<3>,IOB,IO_L83P_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,3.30,,,,
P5,addr<4>,IOB,IO_L52N_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P6,addr<5>,IOB,IO_L52P_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P7,addr<6>,IOB,IO_L51N_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P8,addr<7>,IOB,IO_L51P_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P9,addr<8>,IOB,IO_L50N_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P10,addr<9>,IOB,IO_L50P_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P11,addr<10>,IOB,IO_L49N_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P12,addr<11>,IOB,IO_L49P_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,addr<12>,IOB,IO_L44N_GCLK20_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P15,addr<13>,IOB,IO_L44P_GCLK21_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P16,addr<14>,IOB,IO_L43N_GCLK22_IRDY2_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P17,addr<15>,IOB,IO_L43P_GCLK23_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P18,,,VCCO_3,,,3,,,,,3.30,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,addr<16>,IOB,IO_L42N_GCLK24_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P22,addr<17>,IOB,IO_L42P_GCLK25_TRDY2_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P23,addr<18>,IOB,IO_L41N_GCLK26_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P24,addr<19>,IOB,IO_L41P_GCLK27_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
P26,addr<20>,IOB,IO_L37N_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P27,addr<21>,IOB,IO_L37P_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,addr<22>,IOB,IO_L36N_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P30,data<15>,IOB,IO_L36P_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
